cutoff,combi.Subject,combi.Condition,combi.All,combi.High,combi.Low,combi.Incor,combi.Cor,combi.Low_Cor,combi.High_Cor,meta_I.Subject,meta_I.Condition,meta_I.ent_H2_r,meta_I.ent_H2_c_h,meta_I.ent_H2_c_l,meta_I.meta_I,meta_I.meta_Ir2
0,GPT,4C,20,20,0,3,17,0,17,GPT,4C,0.6098403047164004,0.6098403047164004,0,0,0
1,GPT,4C,20,20,0,3,17,0,17,GPT,4C,0.6098403047164004,0.6098403047164004,0,0,0
2,GPT,4C,20,20,0,3,17,0,17,GPT,4C,0.6098403047164004,0.6098403047164004,0,0,0
3,GPT,4C,20,20,0,3,17,0,17,GPT,4C,0.6098403047164004,0.6098403047164004,0,0,0
4,GPT,4C,20,20,0,3,17,0,17,GPT,4C,0.6098403047164004,0.6098403047164004,0,0,0
5,GPT,4C,20,20,0,3,17,0,17,GPT,4C,0.6098403047164004,0.6098403047164004,0,0,0
6,GPT,4C,20,20,0,3,17,0,17,GPT,4C,0.6098403047164004,0.6098403047164004,0,0,0
7,GPT,4C,20,20,0,3,17,0,17,GPT,4C,0.6098403047164004,0.6098403047164004,0,0,0
8,GPT,4C,20,20,0,3,17,0,17,GPT,4C,0.6098403047164004,0.6098403047164004,0,0,0
9,GPT,4C,20,20,0,3,17,0,17,GPT,4C,0.6098403047164004,0.6098403047164004,0,0,0
10,GPT,4C,20,20,0,3,17,0,17,GPT,4C,0.6098403047164004,0.6098403047164004,0,0,0
11,GPT,4C,20,20,0,3,17,0,17,GPT,4C,0.6098403047164004,0.6098403047164004,0,0,0
12,GPT,4C,20,20,0,3,17,0,17,GPT,4C,0.6098403047164004,0.6098403047164004,0,0,0
13,GPT,4C,20,20,0,3,17,0,17,GPT,4C,0.6098403047164004,0.6098403047164004,0,0,0
14,GPT,4C,20,20,0,3,17,0,17,GPT,4C,0.6098403047164004,0.6098403047164004,0,0,0
15,GPT,4C,20,20,0,3,17,0,17,GPT,4C,0.6098403047164004,0.6098403047164004,0,0,0
16,GPT,4C,20,20,0,3,17,0,17,GPT,4C,0.6098403047164004,0.6098403047164004,0,0,0
17,GPT,4C,20,20,0,3,17,0,17,GPT,4C,0.6098403047164004,0.6098403047164004,0,0,0
18,GPT,4C,20,20,0,3,17,0,17,GPT,4C,0.6098403047164004,0.6098403047164004,0,0,0
19,GPT,4C,20,20,0,3,17,0,17,GPT,4C,0.6098403047164004,0.6098403047164004,0,0,0
20,GPT,4C,20,20,0,3,17,0,17,GPT,4C,0.6098403047164004,0.6098403047164004,0,0,0
21,GPT,4C,20,20,0,3,17,0,17,GPT,4C,0.6098403047164004,0.6098403047164004,0,0,0
