cutoff,combi.Subject,combi.Condition,combi.All,combi.High,combi.Low,combi.Incor,combi.Cor,combi.Low_Cor,combi.High_Cor,meta_I.Subject,meta_I.Condition,meta_I.ent_H2_r,meta_I.ent_H2_c_h,meta_I.ent_H2_c_l,meta_I.meta_I,meta_I.meta_Ir2
0,GPT,OP,20,20,0,5,15,0,15,GPT,OP,0.8112781244591328,0.8112781244591328,0,0,0
1,GPT,OP,20,20,0,5,15,0,15,GPT,OP,0.8112781244591328,0.8112781244591328,0,0,0
2,GPT,OP,20,20,0,5,15,0,15,GPT,OP,0.8112781244591328,0.8112781244591328,0,0,0
3,GPT,OP,20,20,0,5,15,0,15,GPT,OP,0.8112781244591328,0.8112781244591328,0,0,0
4,GPT,OP,20,20,0,5,15,0,15,GPT,OP,0.8112781244591328,0.8112781244591328,0,0,0
5,GPT,OP,20,20,0,5,15,0,15,GPT,OP,0.8112781244591328,0.8112781244591328,0,0,0
6,GPT,OP,20,20,0,5,15,0,15,GPT,OP,0.8112781244591328,0.8112781244591328,0,0,0
7,GPT,OP,20,20,0,5,15,0,15,GPT,OP,0.8112781244591328,0.8112781244591328,0,0,0
8,GPT,OP,20,20,0,5,15,0,15,GPT,OP,0.8112781244591328,0.8112781244591328,0,0,0
9,GPT,OP,20,20,0,5,15,0,15,GPT,OP,0.8112781244591328,0.8112781244591328,0,0,0
10,GPT,OP,20,20,0,5,15,0,15,GPT,OP,0.8112781244591328,0.8112781244591328,0,0,0
11,GPT,OP,20,20,0,5,15,0,15,GPT,OP,0.8112781244591328,0.8112781244591328,0,0,0
12,GPT,OP,20,20,0,5,15,0,15,GPT,OP,0.8112781244591328,0.8112781244591328,0,0,0
13,GPT,OP,20,20,0,5,15,0,15,GPT,OP,0.8112781244591328,0.8112781244591328,0,0,0
14,GPT,OP,20,20,0,5,15,0,15,GPT,OP,0.8112781244591328,0.8112781244591328,0,0,0
15,GPT,OP,20,20,0,5,15,0,15,GPT,OP,0.8112781244591328,0.8112781244591328,0,0,0
16,GPT,OP,20,20,0,5,15,0,15,GPT,OP,0.8112781244591328,0.8112781244591328,0,0,0
17,GPT,OP,20,20,0,5,15,0,15,GPT,OP,0.8112781244591328,0.8112781244591328,0,0,0
18,GPT,OP,20,20,0,5,15,0,15,GPT,OP,0.8112781244591328,0.8112781244591328,0,0,0
19,GPT,OP,20,20,0,5,15,0,15,GPT,OP,0.8112781244591328,0.8112781244591328,0,0,0
20,GPT,OP,20,20,0,5,15,0,15,GPT,OP,0.8112781244591328,0.8112781244591328,0,0,0
21,GPT,OP,20,20,0,5,15,0,15,GPT,OP,0.8112781244591328,0.8112781244591328,0,0,0
